421 1686069591 2,000000 -1,000000 -101,000000 0,000000 0,000000
421 1686069592 2,000000 -1,000000 -101,000000 0,000000 0,000000
421 1686069593 2,000000 -1,000000 -101,000000 0,000000 0,000000
421 1686069594 2,000000 -1,000000 -101,000000 0,000000 0,000000
421 1686069595 2,000000 -1,000000 -101,000000 0,000000 0,000000
421 1686069596 1,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069597 1,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069598 1,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069599 1,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069600 1,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069601 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069602 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069603 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069604 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069605 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069661 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069662 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069663 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069664 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069665 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069666 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069667 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069661 1,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069662 1,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069663 1,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069664 1,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069665 1,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069666 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069667 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069668 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069669 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069670 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069668 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069669 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069670 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069726 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069727 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069728 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069726 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069727 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069728 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069729 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069730 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069731 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069732 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069733 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069729 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069730 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069731 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069732 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069733 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069734 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069735 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069734 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069735 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069746 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069747 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069748 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069749 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069750 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069751 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069752 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069753 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069754 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069755 0,800000 -1,000000 -101,000000 0,000000 0,000000
421 1686069756 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069757 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069758 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069759 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069760 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069771 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069772 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069773 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069774 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069775 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069746 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069747 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069748 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069749 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069750 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069751 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069752 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069753 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069754 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069755 0,800000 -1,000000 -101,000000 0,000000 0,000000
463 1686069756 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069757 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069758 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069759 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069760 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069771 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069772 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069773 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069774 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069775 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069786 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069787 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069788 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069789 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069790 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069791 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069792 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069793 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069794 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069795 0,600000 -1,000000 -101,000000 0,000000 0,000000
421 1686069796 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069797 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069798 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069786 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069787 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069788 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069789 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069790 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069791 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069792 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069793 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069794 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069795 0,600000 -1,000000 -101,000000 0,000000 0,000000
463 1686069796 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069797 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069798 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069799 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069800 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069801 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069802 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069803 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069799 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069800 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069801 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069802 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069803 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069804 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069805 0,200000 -1,000000 -101,000000 0,000000 0,000000
463 1686069804 0,400000 -1,000000 -101,000000 0,000000 0,000000
463 1686069805 0,400000 -1,000000 -101,000000 0,000000 0,000000
421 1686069841 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069842 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069843 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069844 0,200000 -1,000000 -101,000000 0,000000 0,000000
421 1686069845 0,200000 -1,000000 -101,000000 0,000000 0,000000
